DateTime,Global_active_power
1,70425.53543999999
2,69320.84387000001
3,67803.22193
4,65489.23208999999
5,63650.44627
6,62171.343980000005
7,60937.360649999995
8,59566.75124
9,58030.61931
10,57012.92027
11,55970.647410000005
12,55152.858380000005
13,54290.73952
14,52861.79492
15,52186.32556
16,51605.46517
17,51161.382190000004
18,50433.58248
19,49783.65136999999
20,49429.18669
21,49080.25071
22,48935.40873
23,48337.87191
24,47920.31588
25,47930.28589
26,47966.29235
27,47689.36584
28,47617.84176
29,47649.26273
30,47434.78151
31,47592.719260000005
32,47580.32783
33,47737.389240000004
34,48289.70354
35,48601.17678
36,49831.75221
37,51196.74761
38,50510.62736
39,50028.492419999995
40,49718.62612
41,49324.574980000005
42,47773.10222
43,45818.7028
44,43436.588220000005
45,41319.420249999996
46,39980.13511
47,39239.45792
48,39465.967319999996
49,40045.7283
50,41172.04459
51,42252.134210000004
52,42962.05861
53,43709.47215
54,45062.721489999996
55,46451.30854
56,47675.14353
57,49020.98433
58,50299.26756000001
59,51682.41693
60,53349.35198
61,54677.746719999996
62,56185.99773
63,57125.30575
64,58220.10518
65,59553.8367
66,60558.95241
67,61813.860790000006
68,62338.32489
69,62986.399529999995
70,63276.73455
71,63742.949349999995
72,64208.34045
73,64338.75552
74,64427.06895
75,64694.072400000005
76,65244.453570000005
77,65265.77736
78,65612.71770000001
79,66138.1092
80,66190.34719
81,65758.1403
82,66045.52579
83,65793.35509
84,65524.487380000006
85,65393.06735
86,65212.18976000001
87,65084.69718
88,64771.50542
89,64428.538029999996
90,64336.45427
91,64219.605429999996
92,64206.00936
93,63558.76556
94,63195.01028
95,63131.42064
96,62903.52669
97,62739.041849999994
98,62474.35679
99,62074.96107
100,62314.09786000001
101,62637.97886999999
102,63490.98625
103,65151.26906
104,68929.33162000001
105,74776.23024
106,81973.88425999999
107,87114.14556
108,88817.85894
109,89560.52977
110,89600.47366999999
111,89395.51625
112,89513.8099
113,89818.18089
114,90372.08508
115,90459.10787
116,90975.77884
117,91079.64071
118,91218.92272999999
119,91699.15224
120,91751.87352
121,91672.09083
122,91928.19675999999
123,92349.75555
124,92742.22601
125,92658.09657
126,92276.94572999999
127,90948.03568
128,90163.15438
129,89649.88851
130,88830.03764
131,87438.63256
132,86334.03443999999
133,84930.79152
134,83683.18075
135,81294.89998
136,79736.44857000001
137,77982.93284000001
138,76102.53298
139,74057.22885
140,72523.47217
141,70945.30824
142,68756.76906
143,67165.75456999999
144,65096.357
145,62667.35846
146,61026.110290000004
147,59728.31136
148,58343.58632999999
149,57257.22884999999
150,56153.48361
151,54993.10532
152,53731.498419999996
153,52966.956549999995
154,51659.23243999999
155,51103.51448
156,50561.06139
157,50233.172609999994
158,49507.159629999995
159,49001.84455
160,48636.84269
161,48579.55227
162,47726.261320000005
163,47846.19395
164,47582.81232
165,47474.41536
166,47348.47285
167,47166.580319999994
168,46730.57749
169,46472.355760000006
170,46711.72496000001
171,46912.30805
172,47143.119470000005
173,47146.9005
174,47135.31288
175,47416.950059999996
176,47957.23049
177,48380.64787
178,48726.704750000004
179,49272.61335
180,51052.8585
181,52700.07391000001
182,52640.201440000004
183,53147.92304
184,53636.4402
185,53976.70894
186,53759.4197
187,53387.54799
188,52897.30853
189,51820.30972999999
190,51185.831170000005
191,50205.35678
192,49313.006720000005
193,49678.82662
194,50992.94086
195,52404.07269
196,53867.681280000004
197,54486.89077
198,55025.255769999996
199,55865.53629
200,54274.14276
201,55206.193549999996
202,56072.66693
203,57284.66274
204,58709.64787
205,59532.05945
206,60388.50953
207,61588.73082
208,62216.609
209,62702.03746
210,63873.95073
211,64590.19773
212,64771.61624
213,65161.98936000001
214,65971.65629
215,66493.71033
216,66412.90501
217,66439.36232
218,66751.70487
219,67656.4594
220,68440.85528999999
221,68598.83776
222,68505.08098
223,68558.09361
224,68557.37793
225,68661.04076
226,68093.79836
227,67224.55389000001
228,66929.80815
229,66903.94716
230,67189.22029
231,67266.15436
232,67013.73133
233,66888.96288
234,67026.26294
235,66924.74650000001
236,66874.55043999999
237,66959.54274
238,67248.40723
239,66660.08636
240,66237.93626
241,65870.96079
242,66077.75912
243,66273.2613
244,67021.12619
245,68022.64788
246,68645.96893
247,71615.69437
248,75529.71851
249,82359.88673
250,88115.50671
251,92147.30074
252,93917.33291
253,94348.46732000001
254,94427.40849
255,94181.57674
256,94225.64779
257,94170.71547
258,94105.14376
259,93671.67393
260,94109.17778
261,94463.96087000001
262,94020.57865000001
263,93673.39668
264,93470.48318000001
265,92824.30684
266,93854.45271
267,94175.38565000001
268,93673.20265
269,93419.65598
270,93181.9321
271,93013.7906
272,92303.40849
273,91042.55276
274,89706.63647
275,88702.83408999999
276,87261.46257
277,86339.22748999999
278,84736.7889
279,83110.00748
280,81361.91521
281,79859.87586999999
282,77908.22696
283,75705.27933
284,73809.4028
285,71126.91075
286,69323.29276
287,67092.59229
288,65503.695049999995
289,63313.49419
290,61871.81917
291,60233.88011
292,58949.68793
293,57754.897990000005
294,55906.825240000006
295,54890.8831
296,54299.18916
297,53344.82522
298,52332.62862
299,51879.53228
300,51519.010109999996
301,50704.921780000004
302,49998.307250000005
303,49870.0606
304,49499.58978
305,49055.89483999999
306,48938.29261999999
307,48693.96466
308,48414.058139999994
309,48158.61383
310,47525.26881
311,47506.1149
312,47279.005619999996
313,47258.073449999996
314,47182.43504
315,47256.27105
316,47470.82758
317,47341.5703
318,47505.28974
319,47819.378410000005
320,48019.30688
321,48532.24167
322,48898.80283
323,49900.54482
324,51581.15838
325,53232.19309
326,53580.18175999999
327,54281.17881
328,54972.30609
329,55166.23105
330,55014.59388
331,54910.89476
332,55271.01031
333,54619.98035
334,53077.04466
335,51678.96164
336,51055.33644
337,51622.244730000006
338,52609.84406
339,53470.32104
340,54503.85489
341,55877.06128
342,56923.65897
343,58278.37806999999
344,59821.74441
345,60588.65719
346,61407.683560000005
347,62413.23506
348,62748.845760000004
349,63671.03679
350,65006.776860000005
351,65899.05073
352,66801.39273
353,67892.07349000001
354,68615.21804
355,69293.29795000001
356,69857.96819
357,70039.69374
358,70488.9067
359,70782.64248000001
360,70688.01714
361,70962.72338
362,71946.43932
363,72266.45331
364,72521.06111000001
365,72957.71710000001
366,73105.31881000001
367,72646.50331
368,72532.17112000001
369,72085.87633
370,71690.28156
371,71565.25734
372,71449.04598
373,70940.57378
374,71022.62289
375,70447.45531
376,70359.28396
377,70404.68125
378,70098.18023
379,70042.32831
380,70496.2555
381,70321.57110999999
382,70411.65278
383,70184.43971
384,69628.03521
385,69219.86067
386,69378.81827
387,69331.43734
388,69744.97292999999
389,70200.86026
390,71399.48173
391,73018.66917
392,76758.70682
393,81812.88997
394,88599.78315
395,93077.06384000002
396,94671.34549
397,95052.38619
398,95595.38798999999
399,95910.24641
400,95972.68604
401,95729.87479999999
402,95648.65083
403,95392.17455
404,95938.30565000001
405,95810.39587
406,95642.2053
407,95163.81302
408,94966.22138999999
409,94671.04355999999
410,95643.71489
411,95895.39875
412,95652.99547
413,95614.85964
414,95028.28643000001
415,94240.61983
416,93361.44016
417,92423.80805
418,91335.91752999999
419,90030.02629000001
420,88619.29819999999
421,87116.29295
422,85895.93338999999
423,84143.42195
424,82329.1759
425,80214.17278
426,78286.9229
427,75512.51918999999
428,73361.87775999999
429,71752.85147
430,69890.15701
431,68140.35624
432,66483.43671
433,64446.87302
434,63228.8709
435,61797.37839
436,60695.37302
437,59258.31263999999
438,57437.41712
439,55701.17904
440,54919.07173
441,53986.67839
442,53442.55085
443,52522.93408
444,51996.07493
445,51371.217370000006
446,51016.83723999999
447,50491.2673
448,49724.53285
449,49601.926490000005
450,49523.00812
451,49194.4051
452,48827.81623
453,48496.77545
454,48372.4292
455,48687.02962
456,48493.81457
457,48253.868969999996
458,48097.88716
459,47473.36926
460,46694.49349
461,46678.031109999996
462,46698.5759
463,47098.92538
464,47797.53941
465,49415.50095
466,49985.04172
467,50488.068999999996
468,52329.38783
469,54218.84654
470,54255.65902
471,54446.295580000005
472,54368.86399
473,55188.22581
474,55447.57909
475,55637.80979
476,55391.86702
477,53862.68225
478,52353.605299999996
479,51445.056500000006
480,50552.456999999995
481,51194.56093
482,52119.692930000005
483,53091.130470000004
484,54121.87833
485,55426.547000000006
486,56794.22681
487,58306.6093
488,59981.710510000004
489,60969.82015
490,62116.02663
491,62830.43708
492,63411.323599999996
493,64389.64168
494,64848.48344
495,66196.15435
496,67007.31027
497,68133.77443
498,68548.12448
499,69112.57222
500,70023.68093
501,70712.30793000001
502,71419.45201
503,72202.91928
504,72371.48867
505,72084.22667
506,72706.15961999999
507,72589.652
508,73022.46299
509,73022.98321
510,73261.15267
511,72929.07422000001
512,72772.40309
513,72492.6621
514,71736.80739
515,71215.19047
516,71219.1001
517,70929.74167
518,70713.21997
519,70324.93494
520,70462.20563
521,70949.51314
522,70643.24098
523,70386.6155
524,70622.51996
525,70254.06682000001
526,70301.14913
527,70047.37505999999
528,69165.28793
529,68438.98213
530,68227.60252999999
531,68546.89438
532,68862.53312
533,68862.89491
534,69201.44447
535,70993.95744
536,74194.73595
537,80509.24393
538,87224.26193000001
539,92621.03288
540,94802.16064000002
